Sprague TVA Atom,50,2000,53.975,28.575
Sprague TVA Atom,50,2500,66.675,28.575
Sprague TVA Atom,50,3000,66.675,31.75
Sprague TVA Atom,50,5000,79.375,34.925
Sprague TVA Atom,63,1,12.7,6.35
Sprague TVA Atom,100,10,17.45,7.925
Sprague TVA Atom,100,50,31.75,9.525
Sprague TVA Atom,100,100,38.1,11.125
Sprague TVA Atom,100,250,38.1,12.319
Sprague TVA Atom,100,500,53.975,28.575
Sprague TVA Atom,150,1,12.7,6.35
Sprague TVA Atom,150,2,17.45,6.35
Sprague TVA Atom,150,4,20.625,7.925
Sprague TVA Atom,150,5,20.625,7.925
Sprague TVA Atom,150,8,20.625,9.525
Sprague TVA Atom,150,10,20.625,9.525
Sprague TVA Atom,150,16,23.8,9.525
Sprague TVA Atom,150,20,31.75,9.525
Sprague TVA Atom,150,25,31.75,9.525
Sprague TVA Atom,150,30,31.75,11.125
Sprague TVA Atom,150,40,38.1,11.125
Sprague TVA Atom,150,50,38.1,11.125
Sprague TVA Atom,150,80,38.1,12.319
Sprague TVA Atom,150,100,38.1,12.319
Sprague TVA Atom,150,150,38.1,12.319
Sprague TVA Atom,150,200,53.975,25.4
Sprague TVA Atom,150,300,66.675,28.575
Sprague TVA Atom,200,3,20.625,7.925
Sprague TVA Atom,200,5,20.625,9.525
Sprague TVA Atom,200,10,23.8,9.525
Sprague TVA Atom,200,20,31.75,11.125
Sprague TVA Atom,200,100,38.1,12.319
Sprague TVA Atom,250,4,20.625,9.525
Sprague TVA Atom,250,10,31.75,9.525
Sprague TVA Atom,250,12,31.75,11.125
Sprague TVA Atom,250,20,38.1,11.125
Sprague TVA Atom,250,30,38.1,12.319
Sprague TVA Atom,250,40,38.1,12.319
Sprague TVA Atom,250,50,38.1,12.319
Sprague TVA Atom,250,60,38.1,12.319
Sprague TVA Atom,250,100,38.1,12.319
Sprague TVA Atom,350,1,17.45,7.925
Sprague TVA Atom,350,3,23.8,9.525
Sprague TVA Atom,350,4,31.75,9.525
Sprague TVA Atom,350,5,31.75,9.525
Sprague TVA Atom,350,8,38.1,11.125
Sprague TVA Atom,350,10,38.1,11.125
Sprague TVA Atom,350,15,38.1,12.319
Sprague TVA Atom,350,20,38.1,12.319
Sprague TVA Atom,350,60,38.1,12.319
Sprague TVA Atom,350,100,66.675,25.4
Sprague TVA Atom,450,1,20.625,9.525
Sprague TVA Atom,450,2,31.75,9.525
Sprague TVA Atom,450,4,38.1,11.125
Sprague TVA Atom,450,5,38.1,11.125
Sprague TVA Atom,450,8,38.1,12.319
Sprague TVA Atom,450,10,38.1,12.319
Sprague TVA Atom,450,12,38.1,12.319
Sprague TVA Atom,450,20,38.1,12.319
Sprague TVA Atom,450,30,38.1,12.319
Sprague TVA Atom,450,40,38.1,12.319
Sprague TVA Atom,450,50,53.975,28.575
Sprague TVA Atom,450,100,79.375,31.75
Sprague TVA Atom,450,60,53.975,28.575
Sprague TVA Atom,450,80,66.675,25.4
Sprague TVA Atom,450,16,38.1,12.319
Sprague TVA Atom,500,20,38.1,12.319
Sprague TVA Atom,500,40,60.325,25.4
Sprague TVA Atom,500,30,38.1,12.319
Sprague TVA Atom,600,10,73.025,25.4
Sprague TVA Atom,600,20,98.425,25.4
Sprague TVA Atom,10 NP,50,17.45,7.925
Sprague TVA Atom,25 NP,10,17.45,6.35
Sprague TVA Atom,25 NP,16,17.45,6.35
Sprague TVA Atom,25 NP,25,17.45,7.925
Sprague TVA Atom,25 NP,50,20.625,7.925
Sprague TVA Atom,25 NP,100,23.8,9.525
Sprague TVA Atom,30 NP,20,17.45,7.925
Sprague TVA Atom,50 NP,2,12.7,6.35
Sprague TVA Atom,50 NP,3,12.7,6.35
Sprague TVA Atom,50 NP,5,17.45,6.35
Sprague TVA Atom,50 NP,8,17.45,6.35
Sprague TVA Atom,50 NP,10,17.45,7.925
Sprague TVA Atom,50 NP,25,20.625,9.525
Sprague TVA Atom,50 NP,50,23.8,9.525
Sprague TVA Atom,50 NP,100,38.1,9.525
Sprague TVA Atom,100 NP,10,41.275,12.7
Sprague TVA Atom,100 NP,20,38.1,12.319
Sprague TVA Atom,200 NP,60,66.675,25.4
Sprague TVA Atom,300 NP,1,34.925,12.7
Sprague TVA Atom,350 NP,5,38.1,12.319
Sprague TVA Atom,400 NP,20,53.975,25.4
